MNC5687700	[PF00569.7;ZZ]
MNC5695850	[PF00153.13;Mito_carr]
MNC5695851	[PF00179.14;UQ_con]
MNC5690319	[PF00702.11;Hydrolase]
MNC5688353	[PF01565.11;FAD_binding_4]
MNC5693055	[PF00097.10;zf-C3HC4]
MNC5693258	[PF04853.2;Invertase_neut]
MNC5693255	[PF02799.4;NMT_C]
MNC5693256	[PF05498.1;RALF]
MNC5693249	[PF02152.5;FolB]
MNC5693250	[PF00166.9;Cpn10]
MNC5693251	[PF02163.9;Peptidase_M50]
MNC5697375	[PF01055.13;Glyco_hydro_31]
MNC5697842	[PF03214.3;RGP]
MNC5688245	[PF00234.9;Tryp_alpha_amyl]
MNC5688971	[PF00075.11;RnaseH]
MNC5688244	[PF03083.5;MtN3_slv]
MNC5688241	[PF00201.8;UDPGT]
MNC5688975	[PF02469.8;Fasciclin]
MNC5688247	[PF01111.8;CKS]
MNC5697371	[PF03141.4;DUF248]
MNC5697846	[PF00240.11;ubiquitin]
MNC5697369	[PF00112.10;Peptidase_C1]
MNC5697220	[PF00650.8;CRAL_TRIO]
MNC5697771	[PF00505.7;HMG_box]
MNC5697770	[PF00190.10;Cupin_1]
MNC5697769	[PF02298.7;Cu_bind_like]
MNC5697776	[PF00137.9;ATP-synt_C]
MNC5697775	[PF00234.9;Tryp_alpha_amyl]
MNC5697774	[PF00297.9;Ribosomal_L3]
MNC5697847	[PF02773.5;S-AdoMet_synt_C]
MNC5697777	[PF00314.7;Thaumatin]
MNC5688004	[PF01780.8;Ribosomal_L37ae]
MNC5698172	[PF00931.11;NB-ARC]
MNC5698173	[PF07156.1;Prenylcys_lyase]
MNC5698174	[PF00171.9;Aldedh]
MNC5698178	[PF07690.3;MFS_1]
MNC5696485	[PF00350.10;Dynamin_N]
MNC5696486	[PF00230.8;MIP]
MNC5696481	[PF00722.9;Glyco_hydro_16]
MNC5696488	[PF04570.3;DUF581]
MNC5696708	[PF00085.8;Thioredoxin]
MNC5696699	[PF01912.8;eIF-6]
MNC5696700	[PF00800.8;PDT]
MNC5696701	[PF01764.12;Lipase_3]
MNC5696703	[PF00190.10;Cupin_1]
MNC5696704	[PF00338.9;Ribosomal_S10]
MNC5696705	[PF00076.9;RRM_1]
MNC5696706	[PF00067.10;p450]
MNC5695504	[PF05199.2;GMC_oxred_C]
MNC5695503	[PF02678.4;Pirin]
MNC5695506	[PF00410.7;Ribosomal_S8]
MNC5695505	[PF00013.15;KH_1]
MNC5690190	[PF00011.8;HSP20]
MNC5690191	[PF00504.11;Chloroa_b-bind]
MNC5695352	[PF00069.12;Pkinase]
MNC5695507	[PF00900.8;Ribosomal_S4e]
MNC5693448	[PF00566.8;TBC]
MNC5693441	[PF00069.12;Pkinase]
MNC5693446	[PF04669.2;DUF579]
MNC5693445	[PF01370.8;Epimerase]
MNC5689569	[PF00225.11;Kinesin]
MNC5689571	[PF04117.2;Mpv17_PMP22]
MNC5689246	[PF00071.11;Ras]
MNC5689245	[PF06592.2;DUF1138]
MNC5689576	[PF00505.7;HMG_box]
MNC5695178	[PF00724.7;Oxidored_FMN]
MNC5695176	[PF03998.3;Utp11]
MNC5695175	[PF02298.7;Cu_bind_like]
MNC5695171	[PF00076.9;RRM_1]
MNC5695170	[PF00240.11;ubiquitin]
MNC5695169	[PF07676.1;PD40]
MNC5691707	[PF06747.2;CHCH]
MNC5691702	[PF06830.1;Root_cap]
MNC5691701	[PF00240.11;ubiquitin]
MNC5691700	[PF01246.9;Ribosomal_L24e]
MNC5691699	[PF02469.8;Fasciclin]
MNC5691704	[PF00561.8;Abhydrolase_1]
MNC5694099	[PF07687.2;M20_dimer]
MNC5694103	[PF03171.8;2OG-FeII_Oxy]
MNC5694106	[PF00722.9;Glyco_hydro_16]
MNC5687428	[PF00107.13;ADH_zinc_N]
MNC5690817	[PF01095.8;Pectinesterase]
MNC5690818	[PF00652.10;Ricin_B_lectin]
MNC5692817	[PF00026.12;Asp]
MNC5692818	[PF07748.1;Glyco_hydro_38C]
MNC5692039	[PF00097.10;zf-C3HC4]
MNC5692812	[PF01095.8;Pectinesterase]
MNC5692815	[PF00227.13;Proteasome]
MNC5692044	[PF02704.4;GASA]
MNC5692045	[PF05753.2;TRAP_beta]
MNC5696260	[PF00891.7;Methyltransf_2]
MNC5696262	[PF06964.1;Alpha-L-AF_C]
MNC5694356	[PF04134.2;DUF393]
MNC5694354	[PF07876.1;Dabb]
MNC5696266	[PF01249.7;Ribosomal_S21e]
MNC5692262	[PF02309.6;AUX_IAA]
MNC5697522	[PF00226.16;DnaJ]
MNC5698112	[PF00999.9;Na_H_Exchanger]
MNC5698116	[PF01210.10;NAD_Gly3P_dh_N]
MNC5698113	[PF00083.11;Sugar_tr]
MNC5688881	[PF01194.7;RNA_pol_N]
MNC5691060	[PF00344.7;SecY]
MNC5688581	[PF00240.11;ubiquitin]
MNC5688584	[PF00031.9;Cystatin]
MNC5691063	[PF05898.1;DUF860]
MNC5691066	[PF00493.9;MCM]
MNC5688585	[PF00011.8;HSP20]
MNC5691068	[PF03061.8;4HBT]
MNC5697433	[PF03330.6;DPBB_1]
MNC5697434	[PF01650.6;Peptidase_C13]
MNC5697436	[PF00262.7;Calreticulin]
MNC5697429	[PF01105.10;EMP24_GP25L]
MNC5697430	[PF00069.12;Pkinase]
MNC5697431	[PF00227.13;Proteasome]
MNC5697432	[PF01907.8;Ribosomal_L37e]
MNC5697437	[PF01287.8;eIF-5a]
MNC5697438	[PF00411.7;Ribosomal_S11]
MNC5696571	[PF07719.2;TPR_2]
MNC5691325	[PF00069.12;Pkinase]
MNC5691326	[PF00459.13;Inositol_P]
MNC5691323	[PF00107.13;ADH_zinc_N]
MNC5691324	[PF00240.11;ubiquitin]
MNC5691320	[PF03141.4;DUF248]
MNC5696877	[PF07731.1;Cu-oxidase_2]
MNC5696873	[PF05542.1;DUF760]
MNC5696876	[PF00230.8;MIP]
MNC5690856	[PF00892.8;DUF6]
MNC5694549	[PF00505.7;HMG_box]
MNC5694551	[PF00179.14;UQ_con]
MNC5694552	[PF00071.11;Ras]
MNC5694557	[PF06552.1;TOM20_plant]
MNC5694558	[PF00240.11;ubiquitin]
MNC5690115	[PF05221.5;AdoHcyase]
MNC5690565	[PF00079.9;Serpin]
MNC5690559	[PF02985.7;HEAT]
MNC5690110	[PF00240.11;ubiquitin]
MNC5696161	[PF04053.3;Coatomer_WDAD]
MNC5696160	[PF05008.3;V-SNARE]
MNC5696164	[PF03332.3;PMM]
MNC5696163	[PF00180.7;Iso_dh]
MNC5692896	[PF01544.8;CorA]
MNC5692895	[PF00335.9;Tetraspannin]
MNC5696168	[PF00687.10;Ribosomal_L1]
MNC5696167	[PF00627.16;UBA]
MNC5692891	[PF00125.10;Histone]
MNC5692890	[PF05875.2;aPHC]
MNC5692889	[PF04142.4;Nuc_sug_transp]
MNC5694677	[PF00903.12;Glyoxalase]
MNC5687257	[PF00067.10;p450]
MNC5694674	[PF00504.11;Chloroa_b-bind]
MNC5694673	[PF00080.8;Sod_Cu]
MNC5694676	[PF00069.12;Pkinase]
MNC5694670	[PF03650.3;UPF0041]
MNC5687249	[PF00042.10;Globin]
MNC5690915	[PF00249.16;Myb_DNA-binding]
MNC5695834	[PF04718.4;ATP-synt_G]
MNC5695832	[PF00504.11;Chloroa_b-bind]
MNC5690909	[PF00070.14;Pyr_redox]
MNC5690918	[PF07734.1;FBA_1]
MNC5697343	[PF01679.6;UPF0057]
MNC5691629	[PF00141.10;peroxidase]
MNC5695782	[PF04857.6;CAF1]
MNC5697766	[PF00838.7;TCTP]
MNC5689070	[PF00924.8;MS_channel]
MNC5689073	[PF00538.7;Linker_histone]
MNC5689077	[PF03171.8;2OG-FeII_Oxy]
MNC5688042	[PF00125.10;Histone]
MNC5692517	[PF00957.8;Synaptobrevin]
MNC5692510	[PF00709.9;Adenylsucc_synt]
MNC5692511	[PF02631.5;RecX]
MNC5692514	[PF01546.14;Peptidase_M20]
MNC5693235	[PF00069.12;Pkinase]
MNC5693236	[PF01566.8;Nramp]
MNC5688997	[PF00722.9;Glyco_hydro_16]
MNC5688991	[PF01248.11;Ribosomal_L7Ae]
MNC5688992	[PF01200.8;Ribosomal_S28e]
MNC5688809	[PF00076.9;RRM_1]
MNC5697798	[PF00258.11;Flavodoxin_1]
MNC5697797	[PF03721.3;UDPG_MGDP_dh_N]
MNC5695615	[PF01287.8;eIF-5a]
MNC5697789	[PF03330.6;DPBB_1]
MNC5697792	[PF00112.10;Peptidase_C1]
MNC5697791	[PF00069.12;Pkinase]
MNC5697794	[PF00294.11;PfkB]
MNC5695066	[PF00581.8;Rhodanese]
MNC5697796	[PF00234.9;Tryp_alpha_amyl]
MNC5695612	[PF01237.8;Oxysterol_BP]
MNC5698151	[PF00393.7;6PGD]
MNC5698152	[PF00789.9;UBX]
MNC5698153	[PF04950.2;DUF663]
MNC5698154	[PF00450.10;Peptidase_S10]
MNC5698156	[PF00795.11;CN_hydrolase]
MNC5688152	[PF04674.2;Phi_1]
MNC5696467	[PF02458.5;Transferase]
MNC5696465	[PF02298.7;Cu_bind_like]
MNC5696350	[PF00241.8;Cofilin_ADF]
MNC5696463	[PF01627.11;Hpt]
MNC5691966	[PF00410.7;Ribosomal_S8]
MNC5696353	[PF00085.8;Thioredoxin]
MNC5696459	[PF05498.1;RALF]
MNC5690225	[PF03348.5;TMS_TDE]
MNC5695938	[PF00544.8;Pec_lyase_C]
MNC5690224	[PF01470.5;Peptidase_C15]
MNC5690771	[PF00696.14;AA_kinase]
MNC5695779	[PF00026.12;Asp]
MNC5695338	[PF02803.5;Thiolase_C]
MNC5695337	[PF01125.7;G10]
MNC5690177	[PF00443.15;UCH]
MNC5690178	[PF00171.9;Aldedh]
MNC5695336	[PF04058.4;DNA_pol_alpha_B]
MNC5695335	[PF00097.10;zf-C3HC4]
MNC5690171	[PF02453.7;Reticulon]
MNC5690172	[PF02984.5;Cyclin_C]
MNC5695331	[PF01655.7;Ribosomal_L32e]
MNC5691537	[PF00581.8;Rhodanese]
MNC5690227	[PF00657.10;Lipase_GDSL]
MNC5691532	[PF00171.9;Aldedh]
MNC5691531	[PF00665.12;rve]
MNC5691530	[PF02365.5;NAM]
MNC5691529	[PF03098.5;An_peroxidase]
MNC5691536	[PF00201.8;UDPGT]
MNC5691535	[PF00646.18;F-box]
MNC5697541	[PF00191.7;Annexin]
MNC5697066	[PF07731.1;Cu-oxidase_2]
MNC5695781	[PF01529.9;zf-DHHC]
MNC5689227	[PF00179.14;UQ_con]
MNC5697065	[PF00069.12;Pkinase]
MNC5689224	[PF00271.16;Helicase_C]
MNC5689219	[PF01280.9;Ribosomal_L19e]
MNC5687418	[PF00862.9;Sucrose_synth]
MNC5697533	[PF00550.10;PP-binding]
MNC5695189	[PF00076.9;RRM_1]
MNC5695193	[PF00026.12;Asp]
MNC5695196	[PF00638.8;Ran_BP1]
MNC5695195	[PF03552.3;Cellulose_synt]
MNC5697059	[PF04862.2;DUF642]
MNC5687194	[PF04652.4;DUF605]
MNC5687195	[PF00171.9;Aldedh]
MNC5687190	[PF00067.10;p450]
MNC5692021	[PF01915.11;Glyco_hydro_3_C]
MNC5692023	[PF01612.10;3_5_exonuc]
MNC5692024	[PF00108.10;Thiolase_N]
MNC5694377	[PF00282.7;Pyridoxal_deC]
MNC5694374	[PF01536.6;SAM_decarbox]
MNC5694376	[PF01028.9;Topoisom_I]
MNC5694369	[PF07223.1;DUF1421]
MNC5694371	[PF04193.4;PQ-loop]
MNC5694372	[PF00403.13;HMA]
MNC5692286	[PF00411.7;Ribosomal_S11]
MNC5692281	[PF00253.10;Ribosomal_S14]
MNC5692282	[PF02535.10;Zip]
MNC5692279	[PF06764.1;DUF1223]
MNC5692288	[PF00257.8;Dehydrin]
MNC5693022	[PF00416.10;Ribosomal_S13]
MNC5693026	[PF06842.1;DUF1242]
MNC5693024	[PF00012.7;HSP70]
MNC5693028	[PF00903.12;Glyoxalase]
MNC5688602	[PF00626.10;Gelsolin]
MNC5688601	[PF00141.10;peroxidase]
MNC5687097	[PF04819.2;DUF716]
MNC5688599	[PF00069.12;Pkinase]
MNC5688606	[PF04133.3;Vps55]
MNC5688605	[PF00009.12;GTP_EFTU]
MNC5688603	[PF00198.11;2-oxoacid_dh]
MNC5697658	[PF00564.10;PB1]
MNC5697452	[PF00501.13;AMP-binding]
MNC5697455	[PF00080.8;Sod_Cu]
MNC5697456	[PF00538.7;Linker_histone]
MNC5697453	[PF01073.7;3Beta_HSD]
MNC5697454	[PF01428.6;zf-AN1]
MNC5689877	[PF02716.4;Isoflavone_redu]
MNC5689878	[PF00561.8;Abhydrolase_1]
MNC5689871	[PF00026.12;Asp]
MNC5689874	[PF00861.9;Ribosomal_L18p]
MNC5694166	[PF00928.9;Adap_comp_sub]
MNC5695805	[PF03171.8;2OG-FeII_Oxy]
MNC5695804	[PF01053.9;Cys_Met_Meta_PP]
MNC5695802	[PF00240.11;ubiquitin]
MNC5695800	[PF01852.8;START]
MNC5696856	[PF05691.1;Raffinose_syn]
MNC5696799	[PF00400.17;WD40]
MNC5696852	[PF03227.5;GILT]
MNC5697746	[PF01370.8;Epimerase]
MNC5696808	[PF00069.12;Pkinase]
MNC5696807	[PF00137.9;ATP-synt_C]
MNC5688266	[PF00234.9;Tryp_alpha_amyl]
MNC5694964	[PF03138.4;DUF246]
MNC5694537	[PF00240.11;ubiquitin]
MNC5694963	[PF02773.5;S-AdoMet_synt_C]
MNC5694529	[PF06747.2;CHCH]
MNC5694535	[PF02575.4;DUF149]
MNC5694656	[PF00230.8;MIP]
MNC5694655	[PF00808.11;CBFD_NFYB_HMF]
MNC5694654	[PF00262.7;Calreticulin]
MNC5694653	[PF00106.12;adh_short]
MNC5694652	[PF07059.1;DUF1336]
MNC5694649	[PF02866.5;Ldh_1_C]
MNC5694960	[PF00067.10;p450]
MNC5694658	[PF02747.5;PCNA_C]
MNC5694959	[PF00646.18;F-box]
MNC5690546	[PF00226.16;DnaJ]
MNC5690543	[PF00251.8;Glyco_hydro_32]
MNC5694962	[PF00722.9;Glyco_hydro_16]
MNC5690540	[PF04752.2;ChaC]
MNC5696804	[PF00168.15;C2]
MNC5690548	[PF00069.12;Pkinase]
MNC5696803	[PF00076.9;RRM_1]
MNC5696185	[PF01439.7;Metallothio_2]
MNC5696850	[PF04185.2;Phosphoesterase]
MNC5696182	[PF02362.9;B3]
MNC5696181	[PF00125.10;Histone]
MNC5696849	[PF02773.5;S-AdoMet_synt_C]
MNC5696187	[PF00428.7;Ribosomal_60s]
MNC5692870	[PF01227.10;GTP_cyclohydroI]
MNC5692871	[PF00657.10;Lipase_GDSL]
MNC5692873	[PF01596.7;Methyltransf_3]
MNC5692876	[PF00459.13;Inositol_P]
MNC5694207	[PF02773.5;S-AdoMet_synt_C]
MNC5694199	[PF03949.3;Malic_M]
MNC5694201	[PF00160.10;Pro_isomerase]
MNC5694205	[PF00107.13;ADH_zinc_N]
MNC5689715	[PF01657.7;DUF26]
MNC5689713	[PF00365.7;PFK]
MNC5689712	[PF05859.1;Mis12]
MNC5689718	[PF00168.15;C2]
MNC5691742	[PF03650.3;UPF0041]
MNC5691743	[PF00153.13;Mito_carr]
MNC5691744	[PF03552.3;Cellulose_synt]
MNC5691745	[PF01019.9;G_glu_transpept]
MNC5691746	[PF00800.8;PDT]
MNC5691748	[PF00069.12;Pkinase]
MNC5693602	[PF01842.10;ACT]
MNC5693600	[PF00400.17;WD40]
MNC5693607	[PF02970.5;TBCA]
MNC5689098	[PF00171.9;Aldedh]
MNC5689090	[PF00831.9;Ribosomal_L29]
MNC5688019	[PF02984.5;Cyclin_C]
MNC5688937	[PF02887.4;PK_C]
MNC5688935	[PF00097.10;zf-C3HC4]
MNC5694657	[PF04770.2;ZF-HD_dimer]
MNC5688929	[PF00149.14;Metallophos]
MNC5688931	[PF00256.9;L15]
MNC5688932	[PF00106.12;adh_short]
MNC5687961	[PF00364.9;Biotin_lipoyl]
MNC5689108	[PF00782.9;DSPc]
MNC5698135	[PF00732.8;GMC_oxred_N]
MNC5698131	[PF00400.17;WD40]
MNC5698132	[PF05739.6;SNARE]
MNC5698129	[PF00394.11;Cu-oxidase]
MNC5698138	[PF00291.12;PALP]
MNC5696331	[PF01399.12;PCI]
MNC5696332	[PF03297.4;Ribosomal_S25]
MNC5696330	[PF07107.1;WI12]
MNC5696336	[PF01657.7;DUF26]
MNC5696333	[PF00201.8;UDPGT]
MNC5696338	[PF00406.10;ADK]
MNC5697562	[PF00067.10;p450]
MNC5695322	[PF02714.5;DUF221]
MNC5697563	[PF04774.3;HABP4_PAI-RBP1]
MNC5695396	[PF03727.4;Hexokinase_2]
MNC5688316	[PF00011.8;HSP20]
MNC5695393	[PF01849.6;NAC]
MNC5695389	[PF00396.8;Granulin]
MNC5691553	[PF01571.8;GCV_T]
MNC5691550	[PF00450.10;Peptidase_S10]
MNC5691552	[PF00234.9;Tryp_alpha_amyl]
MNC5697564	[PF00067.10;p450]
MNC5687395	[PF00266.8;Aminotran_5]
MNC5695217	[PF00722.9;Glyco_hydro_16]
MNC5695211	[PF02847.6;MA3]
MNC5695210	[PF01439.7;Metallothio_2]
MNC5695209	[PF04366.2;DUF500]
MNC5695215	[PF03901.5;Glyco_transf_22]
MNC5695213	[PF00248.9;Aldo_ket_red]
MNC5696012	[PF01213.8;CAP]
MNC5696010	[PF00004.15;AAA]
MNC5696014	[PF07687.2;M20_dimer]
MNC5696013	[PF05021.3;NPL4]
MNC5696018	[PF00561.8;Abhydrolase_1]
MNC5689285	[PF06201.1;DUF1000]
MNC5689284	[PF00198.11;2-oxoacid_dh]
MNC5689288	[PF01657.7;DUF26]
MNC5692083	[PF04059.2;RRM_2]
MNC5692087	[PF00067.10;p450]
MNC5694393	[PF00201.8;UDPGT]
MNC5694391	[PF00445.8;Ribonuclease_T2]
MNC5694392	[PF01477.9;PLAT]
MNC5694397	[PF03088.5;Str_synth]
MNC5692299	[PF00083.11;Sugar_tr]
MNC5692305	[PF03081.5;Exo70]
MNC5693412	[PF00107.13;ADH_zinc_N]
MNC5693409	[PF00892.8;DUF6]
MNC5693416	[PF07224.1;Chlorophyllase]
MNC5693415	[PF02458.5;Transferase]
MNC5693413	[PF05646.2;DUF786]
MNC5693417	[PF03953.6;Tubulin_C]
MNC5689502	[PF00069.12;Pkinase]
MNC5689499	[PF00076.9;RRM_1]
MNC5689506	[PF00117.13;GATase]
MNC5689504	[PF00759.8;Glyco_hydro_9]
MNC5689503	[PF00036.17;efhand]
MNC5689507	[PF04398.2;DUF538]
MNC5691904	[PF00847.8;AP2]
MNC5688638	[PF01248.11;Ribosomal_L7Ae]
MNC5688637	[PF00118.12;Cpn60_TCP1]
MNC5691902	[PF07731.1;Cu-oxidase_2]
MNC5688632	[PF01545.9;Cation_efflux]
MNC5697641	[PF02826.5;2-Hacid_dh_C]
MNC5688629	[PF00271.16;Helicase_C]
MNC5688634	[PF05922.3;Subtilisin_N]
MNC5693044	[PF00011.8;HSP20]
MNC5697202	[PF00270.15;DEAD]
MNC5693046	[PF00005.12;ABC_tran]
MNC5697200	[PF00240.11;ubiquitin]
MNC5697657	[PF00467.15;KOW]
MNC5697206	[PF00190.10;Cupin_1]
MNC5697203	[PF00189.8;Ribosomal_S3_C]
MNC5693041	[PF00230.8;MIP]
MNC5697653	[PF00550.10;PP-binding]
MNC5697207	[PF00237.8;Ribosomal_L22]
MNC5697208	[PF06272.1;eIF-3_p25]
MNC5697649	[PF02773.5;S-AdoMet_synt_C]
MNC5693047	[PF00091.14;Tubulin]
MNC5697651	[PF02773.5;S-AdoMet_synt_C]
MNC5687077	[PF00487.12;FA_desaturase]
MNC5689892	[PF00106.12;adh_short]
MNC5689889	[PF01467.13;CTP_transf_2]
MNC5689890	[PF00854.10;PTR2]
MNC5689895	[PF00274.8;Glycolytic]
MNC5689896	[PF00201.8;UDPGT]
MNC5689893	[PF01187.7;MIF]
MNC5689894	[PF01281.8;Ribosomal_L9_N]
MNC5691103	[PF00384.10;Molybdopterin]
MNC5697477	[PF00560.18;LRR_1]
MNC5698007	[PF00012.7;HSP70]
MNC5698008	[PF00023.15;Ank]
MNC5697469	[PF00240.11;ubiquitin]
MNC5698002	[PF01053.9;Cys_Met_Meta_PP]
MNC5697999	[PF04685.3;DUF608]
MNC5697473	[PF03501.4;S10_plectin]
MNC5697474	[PF00257.8;Dehydrin]
MNC5697475	[PF03080.4;DUF239]
MNC5697476	[PF00538.7;Linker_histone]
MNC5697606	[PF05564.2;Auxin_repressed]
MNC5697604	[PF00676.9;E1_dh]
MNC5697601	[PF02826.5;2-Hacid_dh_C]
MNC5697608	[PF00160.10;Pro_isomerase]
MNC5696830	[PF00026.12;Asp]
MNC5696829	[PF01557.8;FAA_hydrolase]
MNC5696832	[PF01467.13;CTP_transf_2]
MNC5696833	[PF00173.13;Cyt-b5]
MNC5696836	[PF06749.1;DUF1218]
MNC5694597	[PF00722.9;Glyco_hydro_16]
MNC5694593	[PF07714.2;Pkinase_Tyr]
MNC5694595	[PF02383.7;Syja_N]
MNC5694590	[PF00203.8;Ribosomal_S19]
MNC5694638	[PF05809.2;DUF841]
MNC5694630	[PF06799.1;DUF1230]
MNC5694629	[PF01176.7;eIF-1a]
MNC5694632	[PF00304.8;Gamma-thionin]
MNC5694636	[PF02405.5;DUF140]
MNC5690527	[PF00892.8;DUF6]
MNC5690078	[PF00012.7;HSP70]
MNC5690076	[PF07876.1;Dabb]
MNC5690075	[PF00013.15;KH_1]
MNC5690525	[PF00406.10;ADK]
MNC5696128	[PF00227.13;Proteasome]
MNC5696126	[PF00234.9;Tryp_alpha_amyl]
MNC5696124	[PF02450.5;LACT]
MNC5696123	[PF00179.14;UQ_con]
MNC5696119	[PF00312.10;Ribosomal_S15]
MNC5693644	[PF00113.9;Enolase_C]
MNC5693648	[PF00107.13;ADH_zinc_N]
MNC5689698	[PF01439.7;Metallothio_2]
MNC5689689	[PF00107.13;ADH_zinc_N]
MNC5689696	[PF00125.10;Histone]
MNC5687600	[PF00428.7;Ribosomal_60s]
MNC5687599	[PF00069.12;Pkinase]
MNC5687608	[PF00828.8;Ribosomal_L18e]
MNC5691728	[PF01657.7;DUF26]
MNC5691719	[PF00232.8;Glyco_hydro_1]
MNC5691723	[PF00432.9;Prenyltrans]
MNC5691724	[PF00106.12;adh_short]
MNC5693587	[PF00166.9;Cpn10]
MNC5693580	[PF07320.1;Hin1]
MNC5693583	[PF02987.6;LEA_4]
MNC5693586	[PF00722.9;Glyco_hydro_16]
MNC5689037	[PF00230.8;MIP]
MNC5689036	[PF07889.1;DUF1664]
MNC5689031	[PF01248.11;Ribosomal_L7Ae]
MNC5687657	[PF00291.12;PALP]
MNC5692561	[PF03242.3;LEA_3]
MNC5692560	[PF00931.11;NB-ARC]
MNC5692559	[PF02127.5;Peptidase_M18]
MNC5692567	[PF00206.9;Lyase_1]
MNC5687981	[PF00006.11;ATP-synt_ab]
MNC5688955	[PF01187.7;MIF]
MNC5688954	[PF01196.8;Ribosomal_L17]
MNC5688300	[PF07732.2;Cu-oxidase_3]
MNC5688302	[PF06703.1;SPC25]
MNC5695230	[PF00271.16;Helicase_C]
MNC5697865	[PF01232.10;Mannitol_dh]
MNC5697863	[PF04058.4;DNA_pol_alpha_B]
MNC5695409	[PF00462.9;Glutaredoxin]
MNC5696393	[PF04446.2;Thg1]
MNC5696394	[PF03330.6;DPBB_1]
MNC5696395	[PF00416.10;Ribosomal_S13]
MNC5696396	[PF00080.8;Sod_Cu]
MNC5696391	[PF00071.11;Ras]
MNC5696397	[PF00199.8;Catalase]
MNC5688441	[PF06749.1;DUF1218]
MNC5688443	[PF00847.8;AP2]
MNC5691164	[PF00070.14;Pyr_redox]
MNC5688445	[PF00403.13;HMA]
MNC5691166	[PF00107.13;ADH_zinc_N]
MNC5688447	[PF00501.13;AMP-binding]
MNC5693838	[PF00125.10;Histone]
MNC5693833	[PF02469.8;Fasciclin]
MNC5693835	[PF00571.15;CBS]
MNC5691576	[PF07727.1;RVT_2]
MNC5691573	[PF00249.16;Myb_DNA-binding]
MNC5696609	[PF00342.7;PGI]
MNC5696610	[PF01336.10;tRNA_anti]
MNC5696613	[PF00230.8;MIP]
MNC5696615	[PF00234.9;Tryp_alpha_amyl]
MNC5696616	[PF01679.6;UPF0057]
MNC5696617	[PF01657.7;DUF26]
MNC5695448	[PF00107.13;ADH_zinc_N]
MNC5695369	[PF03720.3;UDPG_MGDP_dh_C]
MNC5695374	[PF00343.8;Phosphorylase]
MNC5695373	[PF01105.10;EMP24_GP25L]
MNC5687371	[PF00067.10;p450]
MNC5690280	[PF00657.10;Lipase_GDSL]
MNC5690281	[PF01842.10;ACT]
MNC5690285	[PF00326.8;Peptidase_S9]
MNC5689268	[PF00319.8;SRF-TF]
MNC5689261	[PF01148.9;CTP_transf_1]
MNC5687155	[PF00295.7;Glyco_hydro_28]
MNC5687156	[PF05623.1;DUF789]
MNC5692068	[PF00597.8;DedA]
MNC5692065	[PF00067.10;p450]
MNC5692066	[PF06749.1;DUF1218]
MNC5692063	[PF05055.2;DUF677]
MNC5692064	[PF02866.5;Ldh_1_C]
MNC5692061	[PF00198.11;2-oxoacid_dh]
MNC5692755	[PF00125.10;Histone]
MNC5694417	[PF01501.8;Glyco_transf_8]
MNC5694418	[PF01218.8;Coprogen_oxidas]
MNC5694410	[PF04117.2;Mpv17_PMP22]
MNC5694411	[PF01753.8;zf-MYND]
MNC5694412	[PF02171.6;Piwi]
MNC5694414	[PF05918.1;API5]
MNC5694415	[PF01633.8;Choline_kinase]
MNC5688658	[PF00885.8;DMRL_synthase]
MNC5688657	[PF07717.2;DUF1605]
MNC5688656	[PF01490.7;Aa_trans]
MNC5688649	[PF07690.3;MFS_1]
MNC5688651	[PF00582.13;Usp]
MNC5697637	[PF00026.12;Asp]
MNC5697631	[PF00241.8;Cofilin_ADF]
MNC5697632	[PF00025.10;Arf]
MNC5697629	[PF00957.8;Synaptobrevin]
MNC5697630	[PF02309.6;AUX_IAA]
MNC5697635	[PF00544.8;Pec_lyase_C]
MNC5697636	[PF00641.7;zf-RanBP]
MNC5697634	[PF00330.9;Aconitase]
MNC5689834	[PF02469.8;Fasciclin]
MNC5689835	[PF02705.5;K_trans]
MNC5689836	[PF01170.8;UPF0020]
MNC5689830	[PF06827.1;zf-FPG_IleRS]
MNC5689832	[PF03018.4;Dirigent]
MNC5687556	[PF00069.12;Pkinase]
MNC5697495	[PF02221.5;E1_DerP2_DerF2]
MNC5697496	[PF03181.5;BURP]
MNC5697494	[PF02716.4;Isoflavone_redu]
MNC5697491	[PF00179.14;UQ_con]
MNC5697492	[PF01399.12;PCI]
MNC5697489	[PF01073.7;3Beta_HSD]
MNC5697490	[PF00244.8;14-3-3]
MNC5697498	[PF00719.8;Pyrophosphatase]
MNC5694819	[PF00069.12;Pkinase]
MNC5694820	[PF00550.10;PP-binding]
MNC5694574	[PF00076.9;RRM_1]
MNC5694569	[PF03348.5;TMS_TDE]
MNC5694827	[PF03552.3;Cellulose_synt]
MNC5694828	[PF01728.7;FtsJ]
MNC5696767	[PF00673.9;Ribosomal_L5_C]
MNC5696763	[PF00935.8;Ribosomal_L44]
MNC5696314	[PF03140.4;DUF247]
MNC5696313	[PF00795.11;CN_hydrolase]
MNC5696759	[PF00026.12;Asp]
MNC5696310	[PF00694.8;Aconitase_C]
MNC5696309	[PF00789.9;UBX]
MNC5690092	[PF02714.5;DUF221]
MNC5696140	[PF00628.15;PHD]
MNC5696141	[PF00646.18;F-box]
MNC5692918	[PF01566.8;Nramp]
MNC5696145	[PF01459.7;Porin_3]
MNC5696148	[PF05562.1;WCOR413]
MNC5692913	[PF00076.9;RRM_1]
